user,msg
MikeR,"Soon enough it was time for the favorite part of any honeymoon, getting leid;





Mike and Suzy had tickets for the Hawaiian Luau.  Mike ordered the best tickets they offered, and while it was closer to the stage than the back row tickets, it honestly did not feel that the tickets were that special as they were still a few rows back.  

The first round of food was appetizers consisting of sweet bread, pineapple, and salad;





And the main course was pork spare ribs, chicken, and rice;



 

With a desert of a chocolate mousse shaped like a volcano;





This food OK, but as was often the case if you are used to eating ethnic food in your home town you might find Disneys version of it to be a bit watered downed and low grade in comparison to what you are used to.  At Mikes old college they had a huge luau every year in which an entire pig was roasted underground, real poi was served, and other Polynesian dishes were prepared.  That was all put on by volunteer college students in their spare time and it was fantastic.  Youd think that Disney could match that, but it wasnt even close.  Thats not to say the food was bad or not enjoyable, just that it could have been better and it wasnt really Polynesian food.

The show itself was cute and funny at times;  





It stared and island girl who came back from the mainland and told of her journey to rediscover her island roots by shaking her moneymakers;





Also it guest-stared fire!





After the show was over Mike and Suzy looked at some paintings for sale in the lobby;





They were pretty, but not worth the cost.  Besides, Mike has already bought enough art work for their house anyways (according to Suzy, Mike begs to differ).  

They then went to downtown Disney on a quest to find a very specific gift for Mikes Mom (A Mickey Mouse watch with an American flag on it.  She works at Veterans Affairs).  





It was a long and arduous quest lasting all of five minutes at the biggest Disney store in the world, 





but they were successful and also had time to check out Goofys Candy Co





Look at some more artwork that Mike was forbidden to buy;





and have Mike pull Suzy aside and point out this sign;





so that he could make the joke of wanting a smoothie flavored like roast beef.  It might have been funnier if he had not so obviously showing the sign to her to just to make the joke.  

With that they returned home and went to sleep."
IATink,I just got caught up on your report!  I love your writing style and the pictures are great.  Sounds like you had a great honeymoon.  Can't wait to read more.
IloveDMB,"Congratulations on your wedding!  Your trip report is cracking me up, you have a great style.

Can't wait to read more."
MikeR,"Day 3:  The Magic Kingdom

Mike and Suzy arrived at the Magic Kingdom before the park opened 





because they had a reservation to eat breakfast at Cinderella’s Palace.  It was a little bizarre to be at a theme park and have it be almost completely empty of people, but they did get a picture of just them and the castle, and how often does that happen?





Mike and Suzy waited in line and got their picture taken with Cinderella;





Then climbed the staircase (NO part of this Honeymoon must be undocumented!);





to attend the breakfast ball.  The food  . . . was nothing special, just standard breakfast fair.  Mike even forgot to take a picture of it (Part of the Honeymoon is undocumented!  Horrors!  Shock!  Alarm!).   But people don’t go to character dinning for the food, do they?  They mainly go for the princesses and there were plenty of those.  First up was Snow White who asked Mike who his favorite princess was.  He didn’t really have one so he thought it would be polite to say that Snow White was his favorite princess, but as soon as he started to answer Snow pointed at Suzy, so Mike quickly said that Suzy was his favorite princess, and she truly is.





Next was Belle;





Then Princess Aurora




And finally Jasmine:





After breakfast was over Mike and Suzy went down but found themselves trapped in the castle because the park had not opened yet so they explored the Bibbity-Bobbity-Boutique 





where Mike’s attempts to have them dress Suzy up in a Jessica Rabbit costume were completely unsuccessful so they basically just sat around being cold for a while until it was finally time for the park to open, Mike and Suzy were in a great spot and got to rush ahead of everyone and be the first people to get to various areas of the Magic Kingdom;

Video Clip.

Mike and Suzy dogged one way, then went another, and finally decided upon going to Pirates of the Caribbean;





Mike thought that the addition of Jack Sparrow and company to the ride worked rather well.  The newly added parts don’t detract from the ride so much as they add another element to it.

After Pirates they rushed over to Splash Mountain, and the lines were still short enough (and the weather cold enough) that they had an entire log to themselves;





In Mike’s Opinion, Splash Mountain has the best animatronics in all of Disneyworld.  





And some great scenery too;





The ride is just a lot of fun, even if you do get a little wet on the coldest day of the year;









Next they went to Big Thunder Mountain;





which Mike has always liked because he gets to pretend that he is Indiana Jones in the Temple of Doom.

Perhaps he screamed too much because he soon found himself in the stocks;





But he got out in time to go to the Haunted Manssion;





With its eerie paintings that go up;





or is it the floor that goes down?



"
MikeR,"Despite Mikes many protestations that the song would be stuck in their heads for the next 11.5 days, Suzy wanted to go on Its a Small World, 





so off they went;





The line wasnt too long, and the ride was a lot more fun than Mike remembered it being from when he last went on it as a teenager;





Sometimes you just have to grow old in order to be able to put away childish things, like the fear that you might be enjoying something childish.





It was at this point that Mike and Suzys Fast-Pass planning and early morning attendance began to run out of steam.  Their next Fast-pass wasnt for two hours and the lines for all the good rides had grown long enough that they couldnt just walk into whatever ride they wanted too - oh the travails of vacation.  

So they decided to just wait in Space Mountains line for however long it took.  However long turned out to be around 45 minutes, which was the longest they waited for anything on their vacation.  During that time they tried to watch a TV show (Mad Men) on their I-Pod, but their surroundings were quite noisy and the sound on their split headphones wasnt loud enough and the screen wasnt bright enough.  So all in all, Mikes bright idea to make waiting in line a breeze didnt work out very well.  Oh well.  In the future they learned to just bring magazines with them which were easily foldable and usually readable anywhere anytime.  

Space Mountain itself was pretty fun.  They sat in the back





and it was exciting mainly because the ride was in the dark so they were unsure of what would happen next.  Years ago, Mike was on it one time when there was some type of problem and they had to turn the lights on, and that made Space Mountain just a humdrum rollercoaster to tell the truth.

After the ride Mike was pretty happy to get his picture taken with the creature from Lillo and Stitch as that was the most enjoyable Disney film hes seen in a while;





Then they went and cashed in their Fast Passes for the Winnie the Pooh ride which Mike was happy about as he is a big fan;





It was set up as if you were passing through the book itself;





But outside of the ride was still cold so Suzy was all bundled up, so much so that perhaps she looked a little like Pooh herself.  Any resemblance? 

Suzy



Pooh




It was lunch time so Mike and Suzy went to their reservation at the Liberty Tree Inn;





The place was not jam-packed because if you take out a package of jam there is still enough room to stick a spoon in and scoop out the jam, but good luck trying to do that at the Liberty Tree Inn a day after New Years Day because there was not an millimeter to spare.  Not to worry though, because Mike made reservations and had them confirmed in his handy print-out that he was given by concierge when they checked in, right?

Wrong.  The lady up front explained that Mike did not in fact have a reservation.  Mike pointed at his paper saying, No, really.  He does have a reservation. But it was to no avail.  The receptionist said that Mikes reservation had been canceled months ago.  Mike asked why it showed up on his reservation list that he had been given two days ago.  The lady said she didnt know, but that somebody must have made a mistake.  Mike said that he was very sorry that someone in her company had made a mistake, but he had reservation for lunch and as it would be impossible to get new ones given how busy the park was, he intended to keep them.  The lady said that she was sorry but there was no room.  Mike said that as someone had made a mistake that was effecting him, she should make room.  She said that wasnt possible and seemed to be hinting that Mike should just leave.  Mike went into 2001 mode and kept saying, effectively, Im sorry Dave, I cant do that. over and over again to her various subtle and not-so-subtle hints to go away.  Eventually the receptionist gave up and said shed find Mike and Suzy a table as soon as she could but that it would probably be a half hour to an hour.  Mike said that would be fine and thanked her for her help (always be gracious in victory, it doesnt cost anything).

In about 35 minutes or so, Mike and Suzy were shown to their table and were greeted by a waitress decked in festive attire;





They were both pretty full from breakfast so Mike just had some chili and Suzy just had some clam chowder and they both split a pot of tea;





The clam chowder and chili was soup.  Just regular soup.  Nothing incredible, nothing bad, just average ordinary bowl of soup of the type you could find in any chain restaurant like Applebees or the Olive Garden or Newport Bay.  It was however, hot, and I can not emphasize enough how important that was on this very cold day.

The tea was also hot, and Mike and Suzy got some cups to go to help them brave the harsh frigid tundra that central Florida had become;



"
MikeR,"While braving the frosty Florida winter wonderland to get to their next destination, Mike and Suzy passed some thatch huts in Adventure Land.  






They didn’t learn this at the time, but Disney hired authentic tribal thatch makers to create the Thatch Huts at DW and Disney asked those craftsmen to make the thatch less neat and tidy to make it look more “authentic.  However, the craftsmen refused saying that “neat and tidy” was exactly how you had to make thatch roofs and that if you make it all messy it wouldn’t work and hence it wouldn’t be “authentic.”  Then they told Disney to put that in their four-fingered glove and smoke it.  Or maybe I made up that last part.  Who can tell?  We live in a world of uncertainty. 

Soon Mike and Suzy’s Fast-passes for the Jungle Cruise were up so they walked past all the people waiting over an hour to look at plastic hippos and tried not to smirk.  (Smirk, smirk, smirk.)





The jokes were just as corny as Mike remembered them being, ditto for the scenery;





But some of the animatronics were a little naughtier than he remembered.  Suzy just thinks that he has a dirty mind;





After the ride it was still cold and the weather just refused to change even though it was Mike and Suzy’s Honeymoon and they had specifically requested good weather for their entire trip (Did Disney not get that memo?), so since they were getting tired they decided to walk back to their hotel and take a nap so they would be rested for the night.  They passed some lovely scenery;





And even though Christmas had been over for a week there were still plenty of decorations about;




Mike and Suzy also passed some characters and is it just Mike or is this evil Step-daughter way more hot in real life than she is in the movies?





Come nightfall they were ready to celebrate the three biggest contributions to world Civilization that Ireland has given the world, drinking, drinking, and the author can’t remember the third because the author got drunk.  

It was time for Mike and Suzy to party at Raglan Road; 





They placed was packed as usual:





Good thing that Mike had ADRs, but even with those there was still a wait so Mike and Suzy got another one of those handy buzzer devices and they looked around the Irish shop for a while.  The change from looking at Disney junk that they didn’t need to looking at Irish junk they didn’t need was a fascinating experience, but eventually the buzzer went off and their server greeted them and showed them to their seats:





She was a nice gal and made some excellent suggestions.  The seats were in a rather good location with a good view of the dance floor and an even better view of the upside down Christmas Tree which is apparently some type of Irish tradition;



 

Mike ordered the Scallop Forest appetizer, which is forks of scallops served with a lime dipping sauce.  While it is not that many scallops it is fun to look at and very tasty.  The scallops melt in the mouth;




Suzy got a side of creamed corn which she loved:




For the main course Mike got Keen Eye for the Shepherds Pie.  Mike had never had Shepherds Pie before and while it was OK he is not sure if he’ll feel the need to order it again.  Even with it’s modernized look, it still seemed a little plain for his tastes;




Suzy got It's Not Bleedin' Chowder; which is potatoes, mussels, prawns, scallops in a cream sauce – tasty but again not something they’ll order again; 




They ended with the truly wonderful Ger's Bread & Butter Pudding.  This was a fantastic desert that really made the meal;




The band, Tuskar Rock, was in great form that night and played a number of good old Irish songs as well as a couple of new ones.  Mike got their CD and added it to his driving to work collection:




The band invented all the Newlyweds up to dance, and Mike and Suzy were very happy that it was a slow-ish number so they got to show off their waltzing moves that they learned for their wedding.

Raglan also had traditional Irish dancing:




and it was very fast and entertaining.  Unfortunately Suzy had the bad luck to be in the bathroom each time the dancer came out for her short performance so she never saw it;




The mood of the pub was just really boisterous and excited (and filled with drunk people – I wonder if there could be a connection?).  A cute little girl even got up and (seemingly spontaneously) did a little Irish dance which the crowd loved;





Raglan Road was a fantastic and fun dinning experience for Mike and Suzy.  They considered going back during their trip but with all the other places to go to they just didn’t have time, but if it was in their home town they definitely would have been back by now."
MikeR,"The next day Mike and Suzy had to get up extra early because Mike had arranged a special surprise.  They packed up their swimsuits and took off for Epcot;





When they arrived there they sat in an area off to the side and some other guests came and joined them.  It didn’t take Suzy long to figure out why they were there – the Dolphins in Depth tour!





Their tour guides were very knowledgeable and friendly.  However, because this was a backstage show, Disney forbid the taking of pictures less it spoil the image of a magical land, this remains the most undocumented part of their Honeymoon.  As they were walking to the big tank they passed big pipes, and blocky buildings, and other non-Disney things.  Mike pointed to a big pile of black bags and refuse and said, “Look, garbage!”  One of the tour guides replied, “Yes, but it’s magical garbage!” 

When they arrived at the tank, the sheer size of it was truly amazing.  They got a brief lesson about dolphins, Disney’s conservation efforts, and how the various animals and fishes in the aquarium are taken care of.  It was all quite interesting and fascinating, as was the point in which they had to run through a very cold shaft of the building in their swimsuits to get to another area of the building.

Eventually the main purpose of the tour came, and Mike and Suzy got to get into the dolphin pool.  The water was cold at first but pretty manageable after a while, and soon they didn’t notice it, mainly because they got to play with and interact with (but not swim with) a dolphin!   It was so much fun and a definite high point of the honeymoon.





Afterwards, when the tour was all wound up and they were walking out, did Mike slip out his camera and surreptitiously take a picture of the forbidden underbelly of Disney?  Of course not.  That would have been wrong.





Once out of Epcot they caught a ride to MGM-Studios (as it was called way back then);  





They had time to watch a brief Jedi show;





And talk with some of the street performers, who were a lot of fun and enjoyable to joke around with;





And whose name Mike can’t remember.  If only he had some type of red box with his name written on it in white letters that would let people know who he was, but sadly no such thing exists.





They arrived on time for their reservations at the 50’s Prime Time Café, but still had to wait a while because the place was very busy again.  It was OK though as Mike got to relax in a cool ‘50’s chair;





and check out the 1950’s bar;





Mike had previously had some memorable experiences with the wait-staff interacting with him, and he was looking forward to sharing that with Suzy, but perhaps because they were so busy there really wasn’t anything memorable or zany that happened.  She was nice enough to pose for a picture though:





And the décor really set the mood;





The food was also quite good.  They were still quite full from all the food they had been eating that they split the pot roast which was fantastic.  Each bite was so juicy and moist that the meat just fell apart in his mouth;





They also split a Peanut-Butter and Jelly Milkshake;





Mike found it to be very tasty and worth the 27.3 miles he would have to run to work it off, Suzy though . . . she had another experience.  Mike and Suzy split the milkshake by just pouring the top half of it into Mike’s portion, and Suzy ate the bottom half.  However, in that bottom half Suzy found . . . bits of plastic.  Lots of bits of plastic.  She pulled it out and looked  through them and as far as they could tell it was some type of plastic wrapper.  Needless to say this wigged them out a little and they told the waitress who told the manager who came over and apologized and explained that it was probably a wrapper for some of the food and they were most sorry that it got in their and might we please accept the meal on the house and some free desert in way of an apology?

Mike and Suzy agreed and Suzy got the make your own desert which she had a lot of fun with;





Mike, for desert mind you, got some chicken soup;





The waitress gave him a strange look and interrogated him for a while if he really wanted that, but Mike just wasn’t in the mood for desert so he stuck with his guns and got the chicken soup which was filling and relaxing on this cold day."
IloveDMB,"Yay!  Another update!

Not cool about the plastic in the shake.  I've had that happen with food before at Cheesecake Factory although there they were not very apologetic.  It was like they thought we were lying, even though we showed them the offending plastic.

Sorry for the tangent, great report!"
ldadar,You are an adorable couple. thanks for the great trippie.
IATink,"Just got all caught up today.  Another great installment.  

   I was so excited when we went to the 50's prime time because I had heard so many good things about it, and I also was disappointed in the interaction.  I thought it would be more memorable.  I guess it just depends on the server you get.  Also, gross about the plastic  I'm glad they gave you a free dessert and tried to make it right.  

   Looking forward to your next update!"
